Soil_Type,Temperature_C,Rainfall_mm,Humidity_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,pH,Crop_History,Recommended_Crop
Clay,12.9,44.3,40.8,49.5,31.9,24.8,6.46,Rice,Mustard
Sandy Loam,24.9,127.2,68.3,92.4,58.6,35.3,7.21,Rice,Maize
Sandy Loam,17.4,96.5,30.3,75.3,66.2,43.7,7.32,Cotton,Wheat
Loamy,15.4,75.7,50.3,129.2,62.0,20.1,6.32,Potato,Wheat
Sandy Loam,24.8,94.3,64.6,122.1,42.0,29.1,6.41,Rice,Maize
Sandy Loam,16.5,81.7,50.4,17.9,47.9,30.3,7.85,Groundnut,Lentil
Sandy Loam,19.0,77.7,80.8,96.7,63.1,60.9,6.03,Wheat,Tomato
Sandy Loam,23.4,89.2,72.6,25.3,30.2,32.7,6.5,Potato,Soybean
Sandy Loam,25.0,72.5,51.9,95.0,50.6,44.0,6.92,Tomato,Maize
Loamy,36.6,117.1,40.8,70.5,33.1,25.7,7.45,Lentil,Cotton
Clay,31.3,75.4,62.1,88.2,50.3,46.6,6.75,Soybean,Cotton
Loamy,21.2,38.6,57.7,22.9,45.2,25.4,6.36,Rice,Lentil
Loamy,28.8,68.4,63.3,12.8,36.1,17.9,6.87,Mango,Groundnut
Clay,25.6,99.5,68.4,48.3,38.4,35.6,6.92,Wheat,Soybean
Loamy,25.4,108.0,80.1,148.8,52.3,78.4,6.22,Wheat,Sugarcane
Silty,17.8,103.0,74.2,65.3,56.2,43.8,6.29,Maize,Potato
Loamy,12.6,89.6,74.1,70.2,78.3,39.1,6.29,Tomato,Potato
Red,31.2,110.9,48.7,45.3,52.7,31.5,6.11,Rice,Groundnut
Clay,33.9,150.6,92.2,73.1,66.3,33.9,5.27,Wheat,Rice
Silty,33.9,305.4,79.4,96.5,38.4,30.7,5.98,Tomato,Rice
Silty,24.4,77.3,61.8,32.2,21.1,22.5,6.06,Sugarcane,Lentil
Clay,28.5,241.4,93.9,117.3,59.9,57.5,6.94,Rice,Sugarcane
Clay,10.7,79.1,56.6,127.4,53.3,30.5,6.27,Sugarcane,Wheat
Sandy Loam,20.6,106.8,59.5,37.0,38.8,31.7,7.69,Maize,Lentil
Loamy,20.7,100.8,55.0,85.9,66.7,33.9,6.67,Mango,Maize
Loamy,28.2,114.6,62.7,35.9,48.8,31.2,6.69,Wheat,Groundnut
Silty,30.0,228.7,59.5,125.4,45.1,49.5,7.12,Mustard,Sugarcane
Sandy Loam,11.4,47.2,49.6,45.5,34.9,25.4,6.3,Rice,Mustard
Red,22.2,65.2,54.0,29.0,40.5,47.6,5.97,Maize,Groundnut
Loamy,18.5,83.6,64.7,73.6,53.7,62.4,6.33,Wheat,Potato
Clay,28.5,162.7,65.1,121.5,44.3,69.4,6.11,Potato,Sugarcane
Loamy,31.0,94.6,75.0,29.5,51.7,19.0,6.18,Tomato,Soybean
Clay,24.9,116.4,84.7,102.6,52.9,45.1,7.13,Rice,Sugarcane
Sandy Loam,12.6,89.5,53.1,110.4,53.6,41.9,7.02,Mango,Wheat
Laterite,26.9,92.8,53.9,78.9,26.3,42.8,7.13,Lentil,Mango
Loamy,29.7,174.2,70.3,77.5,23.7,34.4,7.12,Soybean,Mango
Sandy Loam,23.4,86.25,47.9,138.9,54.1,32.6,6.07,Soybean,Wheat
Loamy,12.1,78.0,28.1,64.6,24.8,22.2,6.68,Lentil,Mustard
Laterite,26.9,88.3,57.5,72.5,48.4,66.2,6.95,Tomato,Mango
Loamy,25.9,201.6,74.5,66.1,23.1,34.5,6.54,Sugarcane,Mango
Red,33.0,45.2,58.4,29.55,34.4,43.0,6.08,Tomato,Groundnut
Loamy,26.5,248.1,66.9,108.8,54.2,69.9,6.47,Soybean,Sugarcane
Clay,22.5,185.2,70.3,128.6,61.4,80.5,5.58,Maize,Sugarcane
Loamy,27.2,168.8,85.5,143.2,47.9,65.9,7.36,Lentil,Sugarcane
Clay,26.5,104.8,80.5,127.6,61.7,53.3,6.9,Maize,Sugarcane
Sandy Loam,21.8,83.4,72.4,26.1,55.7,52.8,6.19,Groundnut,Soybean
Sandy Loam,21.5,171.7,61.5,94.9,61.4,26.8,5.7,Groundnut,Maize
Loamy,29.9,88.1,75.5,31.3,63.8,24.4,6.71,Wheat,Soybean
Silty,18.7,91.7,32.5,16.4,26.1,30.5,6.27,Tomato,Lentil
Sandy Loam,27.7,74.5,73.9,76.5,71.8,62.6,6.41,Mango,Tomato
Sandy Loam,28.2,82.7,63.1,30.9,43.0,27.2,5.92,Potato,Groundnut
Clay,23.0,136.7,73.7,110.4,52.2,53.0,6.64,Maize,Rice
Loamy,22.2,50.1,51.2,69.1,41.1,21.6,6.0,Tomato,Mustard
Loamy,29.8,117.8,83.6,25.0,59.6,23.7,7.21,Sugarcane,Soybean
Loamy,32.4,99.4,69.4,46.7,45.6,40.6,7.46,Lentil,Cotton
Clay,30.3,118.4,57.0,53.3,23.6,37.5,7.32,Lentil,Cotton
Loamy,14.7,61.05,36.6,24.4,35.0,17.3,7.115,Groundnut,Lentil
Silty,27.5,55.5,80.3,81.5,75.1,42.1,6.36,Cotton,Tomato
Clay,31.4,111.5,75.1,34.2,38.6,43.2,6.58,Groundnut,Soybean
Clay,29.9,106.4,74.3,150.9,49.6,60.5,7.03,Cotton,Sugarcane
Loamy,26.7,74.4,69.0,98.5,81.6,52.2,6.56,Lentil,Tomato
Loamy,27.0,188.8,54.6,60.1,22.6,61.9,6.21,Mustard,Mango
Clay,28.7,139.5,81.8,145.0,74.1,45.0,6.71,Wheat,Sugarcane
Sandy Loam,13.0,52.9,57.4,42.5,24.7,26.8,7.28,Lentil,Mustard
Loamy,32.4,288.9,97.7,93.0,62.6,55.5,6.54,Cotton,Rice
Silty,13.6,102.8,72.4,66.1,80.9,73.6,5.62,Sugarcane,Potato
Silty,22.1,163.5,72.3,66.1,35.5,30.8,5.94,Lentil,Rice
Clay,36.7,263.2,75.1,110.5,69.0,41.4,5.07,Tomato,Rice
Loamy,19.2,63.8,33.7,49.6,25.1,30.4,6.27,Mango,Mustard
Loamy,19.6,236.4,74.5,78.1,29.2,37.6,5.84,Cotton,Rice
Loamy,21.5,88.3,70.0,64.8,24.7,31.1,6.89,Sugarcane,Mango
Laterite,37.6,121.8,59.7,63.5,23.8,53.4,7.34,Soybean,Mango
Sandy Loam,27.1,61.5,50.3,68.8,49.0,57.9,6.28,Rice,Tomato
Sandy Loam,19.3,76.2,83.3,65.3,70.7,56.4,6.51,Potato,Tomato
Loamy,27.4,147.6,46.3,68.6,45.5,32.4,6.63,Lentil,Cotton
Loamy,29.2,60.0,54.0,33.7,38.6,31.1,6.81,Cotton,Groundnut
Loamy,27.6,187.6,49.9,68.8,41.7,38.6,7.46,Mustard,Mango
Loamy,20.8,77.1,73.9,103.7,78.7,57.5,5.98,Maize,Tomato
Clay,10.8,53.7,53.4,54.9,37.6,21.7,6.92,Maize,Mustard
Loamy,29.4,199.4,85.0,102.1,68.8,56.7,5.94,Groundnut,Sugarcane
Clay,27.3,67.4,59.1,38.6,32.9,31.2,7.02,Tomato,Soybean
Sandy Loam,16.3,64.8,59.6,50.4,24.7,28.6,6.1,Lentil,Mustard
Sandy Loam,27.4,139.9,81.4,30.0,35.9,28.4,6.72,Groundnut,Soybean
Silty,12.6,83.6,80.3,74.7,68.1,42.9,6.23,Maize,Potato
Clay,22.2,98.3,64.5,108.45,71.1,25.8,7.25,Lentil,Wheat
Loamy,22.3,93.6,63.5,70.1,67.8,46.7,7.08,Sugarcane,Tomato
Sandy Loam,26.5,176.3,77.4,49.1,43.7,55.5,6.38,Cotton,Mango
Silty,27.6,49.3,36.7,18.9,54.4,31.3,7.47,Groundnut,Lentil
Clay,21.0,131.0,86.9,99.5,59.9,33.9,6.65,Wheat,Rice
Sandy Loam,14.1,31.1,58.5,39.9,51.2,18.7,6.04,Tomato,Lentil
Loamy,26.1,98.7,70.9,71.2,62.8,63.3,6.52,Mango,Tomato
Clay,26.1,68.6,61.0,88.5,49.3,19.3,7.29,Soybean,Wheat
Laterite,37.6,105.5,63.8,63.8,29.8,31.3,6.72,Groundnut,Mango
Loamy,30.2,224.9,88.0,78.1,65.0,56.2,7.02,Wheat,Rice
Loamy,24.6,55.0,69.4,118.1,37.3,32.5,7.29,Sugarcane,Wheat
Clay,35.4,183.1,81.1,88.4,65.7,49.1,6.47,Tomato,Rice
Loamy,31.3,138.0,47.1,47.7,44.7,15.5,7.61,Soybean,Cotton
Clay,38.2,231.4,63.0,127.7,42.9,73.7,7.01,Mango,Sugarcane
Sandy Loam,33.8,125.4,56.5,33.3,54.9,41.1,6.89,Lentil,Groundnut
Loamy,18.6,55.3,46.0,24.3,26.6,39.3,6.13,Groundnut,Lentil
Sandy Loam,18.8,55.9,34.8,117.5,53.3,24.0,6.31,Mustard,Wheat
Clay,18.0,78.9,51.8,62.7,29.5,22.8,6.63,Potato,Mustard
Silty,15.5,44.4,32.4,20.2,33.5,35.2,7.59,Tomato,Lentil
Loamy,27.4,149.6,55.9,74.5,26.0,44.7,7.53,Wheat,Mango
Loamy,25.4,139.7,55.4,77.2,35.1,36.9,7.43,Mustard,Cotton
Loamy,33.1,113.8,46.6,34.2,35.5,25.9,5.84,Cotton,Groundnut
Loamy,28.0,67.9,51.9,110.6,80.6,42.3,6.7,Sugarcane,Tomato
Clay,15.4,39.8,58.7,68.0,34.5,24.9,6.16,Lentil,Mustard
Clay,23.0,102.2,76.0,135.9,61.7,42.1,5.9,Groundnut,Sugarcane
Sandy Loam,20.8,41.6,58.5,69.9,48.4,24.0,6.8,Potato,Mustard
Clay,28.2,187.9,81.2,72.8,51.4,47.6,5.05,Maize,Rice
Clay,18.7,65.3,40.9,106.9,64.2,35.8,6.15,Groundnut,Wheat
Sandy Loam,28.6,57.0,63.9,64.4,49.7,52.6,5.79,Soybean,Tomato
Silty,29.8,96.5,46.6,71.9,74.1,60.3,6.26,Maize,Tomato
Loamy,23.5,53.4,35.6,17.1,48.7,25.1,7.76,Groundnut,Lentil
Clay,12.5,118.1,53.3,102.9,56.4,44.3,7.0,Rice,Wheat
Sandy Loam,19.9,61.3,43.9,71.6,37.8,25.6,6.76,Tomato,Mustard
Sandy Loam,32.0,174.5,66.2,75.1,47.1,47.6,6.87,Soybean,Mango
Sandy Loam,28.5,55.5,64.6,23.0,42.0,23.9,5.77,Maize,Groundnut
Loamy,26.5,85.8,68.5,19.9,62.5,32.5,6.17,Rice,Groundnut
Clay,25.5,90.0,62.1,90.6,32.6,14.7,7.23,Mango,Cotton
Sandy Loam,22.6,146.8,72.9,44.8,43.1,48.5,7.27,Mango,Soybean
Loamy,21.5,54.9,45.0,85.15,67.9,48.6,6.29,Soybean,Tomato
Loamy,10.7,79.6,50.4,63.0,48.9,18.6,6.3,Sugarcane,Mustard
Loamy,29.4,228.2,81.6,92.0,39.6,36.4,6.74,Soybean,Rice
Silty,31.2,162.9,86.0,95.1,37.7,66.0,5.62,Potato,Sugarcane
Loamy,18.1,82.6,32.3,118.1,68.6,36.8,6.24,Cotton,Wheat
Silty,19.7,90.3,81.9,74.8,69.4,65.1,4.87,Tomato,Potato
Laterite,28.0,168.5,69.4,64.0,40.7,51.1,6.73,Groundnut,Mango
Sandy Loam,26.9,74.4,75.0,67.5,67.8,57.9,5.92,Soybean,Tomato
Sandy Loam,27.5,93.1,60.3,29.7,31.9,20.5,5.85,Tomato,Groundnut
Loamy,24.2,48.0,78.1,104.3,58.4,39.4,5.95,Mustard,Tomato
Loamy,37.0,157.7,56.0,62.0,42.6,34.8,7.1,Mustard,Cotton
Sandy Loam,21.1,69.7,78.3,109.9,62.3,50.1,6.57,Mango,Tomato
Laterite,29.7,78.0,75.3,45.1,31.7,34.1,5.69,Tomato,Mango
Loamy,37.9,173.1,65.5,73.9,17.6,44.7,6.8,Cotton,Mango
Clay,22.7,79.0,77.5,53.2,58.9,44.8,6.86,Potato,Soybean
Loamy,24.9,78.5,62.4,35.0,47.7,50.6,6.45,Sugarcane,Groundnut
Sandy Loam,25.3,130.1,55.3,104.2,57.3,38.1,7.16,Groundnut,Maize
Loamy,24.6,93.1,81.1,103.5,55.0,39.6,6.9,Mustard,Tomato
Loamy,28.2,140.9,72.1,58.2,30.3,27.9,6.95,Lentil,Mango
Loamy,25.4,89.7,68.7,81.7,62.3,46.7,6.67,Cotton,Tomato
Clay,28.2,236.7,88.0,116.3,43.9,53.0,7.46,Groundnut,Sugarcane
Laterite,30.45,155.6,73.2,60.4,47.9,53.4,7.02,Cotton,Mango
Sandy Loam,27.1,95.2,59.2,42.0,40.1,47.3,6.46,Wheat,Groundnut
Loamy,35.4,279.1,82.2,67.7,46.8,43.8,6.39,Potato,Rice
Loamy,31.3,210.5,73.5,134.4,73.9,64.1,6.44,Cotton,Sugarcane
Loamy,30.6,195.7,74.9,71.4,51.45,56.9,6.76,Groundnut,Rice
Sandy Loam,15.7,76.0,72.7,56.5,87.8,51.0,6.18,Soybean,Potato
Silty,27.5,302.3,78.0,64.9,60.4,37.7,6.63,Wheat,Rice
Silty,37.8,194.0,74.0,132.2,57.6,58.6,6.62,Mango,Sugarcane
Loamy,15.2,55.2,51.2,70.6,43.5,34.5,6.97,Rice,Mustard
Silty,16.4,79.2,59.0,81.5,52.9,55.9,6.4,Cotton,Potato
Loamy,23.2,130.5,52.6,113.1,42.5,49.9,6.07,Mango,Maize
Clay,24.0,216.2,76.0,94.5,41.2,79.7,6.44,Wheat,Sugarcane
Loamy,24.3,77.9,54.5,29.0,46.2,36.0,6.44,Lentil,Groundnut
Sandy Loam,24.5,89.9,50.6,30.8,61.8,35.9,6.13,Sugarcane,Groundnut
Sandy Loam,16.9,81.0,55.7,134.7,75.4,25.4,6.07,Cotton,Wheat
Loamy,13.9,92.0,64.3,100.0,50.7,60.3,5.81,Mustard,Potato
Clay,13.6,86.0,29.9,144.5,52.3,27.5,6.14,Tomato,Wheat
Sandy Loam,22.6,82.3,65.7,107.5,48.2,47.6,7.21,Rice,Maize
Sandy Loam,30.0,74.7,86.1,45.5,41.0,30.2,6.79,Sugarcane,Soybean
Sandy Loam,21.3,91.3,57.0,87.9,71.6,63.0,6.06,Rice,Tomato
Sandy Loam,16.1,81.2,44.4,70.8,29.2,21.5,6.4,Lentil,Mustard
Sandy Loam,17.7,55.5,39.8,12.8,20.4,27.0,6.39,Wheat,Lentil
Loamy,28.6,228.0,71.4,67.4,54.7,47.4,5.29,Maize,Rice
Sandy Loam,22.1,124.4,73.9,36.8,46.1,35.8,6.98,Mustard,Groundnut
Clay,23.4,70.4,61.8,103.5,35.7,18.7,6.39,Tomato,Wheat
Sandy Loam,26.3,68.8,53.2,28.1,31.8,34.0,6.27,Mustard,Soybean
Sandy Loam,22.6,139.3,72.0,23.1,30.4,25.6,6.73,Tomato,Soybean
Sandy Loam,33.7,115.7,55.0,40.8,57.0,35.7,6.65,Sugarcane,Groundnut
Sandy Loam,20.7,69.6,62.4,25.5,41.1,39.0,6.15,Rice,Soybean
Loamy,31.6,97.3,63.0,51.4,20.3,42.4,6.25,Groundnut,Mango
Clay,27.5,270.9,85.1,97.3,64.2,55.8,6.16,Maize,Rice
Loamy,17.0,218.5,71.7,81.5,30.0,58.4,6.73,Sugarcane,Rice
Loamy,23.5,86.5,42.3,114.4,46.0,43.9,6.73,Soybean,Wheat
Loamy,29.6,41.6,63.9,99.2,64.2,46.4,6.13,Rice,Tomato
Sandy Loam,19.1,96.4,57.7,77.6,50.0,26.9,6.51,Mango,Maize
Clay,28.9,170.0,63.1,90.6,39.3,51.1,6.41,Mustard,Sugarcane
Clay,23.9,264.1,79.1,64.9,26.9,40.8,6.6,Wheat,Rice
Loamy,37.3,105.6,39.2,55.1,42.2,39.5,7.005,Soybean,Cotton
Laterite,35.9,93.0,72.1,56.0,26.7,51.1,6.3,Rice,Mango
Loamy,33.2,95.3,58.7,24.8,57.6,31.9,6.89,Soybean,Groundnut
Clay,26.9,96.5,66.7,47.8,36.9,23.4,7.02,Groundnut,Soybean
Silty,16.6,85.8,73.8,88.8,56.0,43.3,5.59,Rice,Potato
Loamy,22.5,96.4,58.8,137.5,52.6,39.2,6.46,Maize,Wheat
Loamy,21.4,63.7,36.1,78.9,42.1,20.0,7.28,Sugarcane,Mustard
Loamy,34.0,106.3,64.5,57.1,42.5,24.4,6.49,Sugarcane,Soybean
Silty,21.2,144.2,62.2,64.4,61.1,36.6,5.73,Rice,Maize
Sandy Loam,31.0,92.8,58.8,80.5,57.7,50.5,5.71,Lentil,Tomato
Clay,21.0,99.1,29.9,109.7,77.7,49.0,7.21,Rice,Wheat
Silty,29.6,128.9,59.8,102.9,39.2,31.9,5.79,Cotton,Maize
Clay,31.0,245.6,85.0,129.4,67.6,63.5,6.67,Tomato,Sugarcane
Sandy Loam,29.0,86.4,87.2,41.1,55.5,41.5,6.45,Cotton,Soybean
Loamy,23.1,314.9,83.7,118.7,56.7,59.4,6.6,Mustard,Rice
Silty,18.7,124.0,72.8,53.3,84.1,73.7,6.1,Mango,Potato
Loamy,15.4,103.0,80.6,70.7,80.4,70.7,4.86,Sugarcane,Potato
Silty,25.4,92.0,72.7,68.1,55.0,70.0,5.67,Potato,Tomato
Silty,29.6,217.7,78.0,71.3,46.8,53.8,5.49,Wheat,Rice
Sandy Loam,29.3,115.6,54.3,38.2,54.5,29.7,6.47,Rice,Groundnut
Loamy,11.5,74.3,51.6,92.1,53.0,41.9,7.21,Potato,Wheat
Sandy Loam,22.4,74.8,76.4,69.0,65.0,53.4,5.88,Cotton,Potato
Sandy Loam,26.3,104.1,61.5,43.7,58.4,28.9,6.18,Maize,Soybean
Red,35.0,91.1,72.2,36.2,32.9,41.7,5.91,Rice,Groundnut
Loamy,32.3,170.8,63.0,47.5,48.8,48.3,5.7,Rice,Mango
Laterite,30.45,134.7,65.0,45.3,26.5,37.3,6.8,Rice,Mango
Sandy Loam,8.5,59.2,56.6,88.1,62.2,22.4,7.39,Mustard,Wheat
Laterite,23.0,100.3,59.6,60.1,30.1,61.3,5.84,Lentil,Mango
Sandy Loam,25.6,55.8,39.8,43.2,32.9,22.3,7.34,Rice,Lentil
Sandy Loam,30.6,159.3,65.9,87.7,38.3,37.4,6.79,Soybean,Maize
Loamy,20.3,227.6,97.9,103.8,50.4,54.0,6.59,Groundnut,Rice
Sandy Loam,34.6,56.0,71.9,30.9,47.2,23.2,5.82,Tomato,Groundnut
Sandy Loam,19.7,38.4,60.7,36.6,20.2,25.8,7.3,Groundnut,Lentil
Sandy Loam,28.9,71.8,80.0,25.6,38.1,34.6,7.08,Sugarcane,Soybean
Silty,23.7,174.4,66.3,90.9,55.9,46.4,6.12,Wheat,Maize
Loamy,20.5,171.7,53.7,92.2,41.2,38.6,5.59,Mango,Maize
Sandy Loam,21.7,50.5,64.3,86.6,67.8,43.8,5.55,Rice,Tomato
Sandy Loam,19.9,121.0,78.4,75.4,40.0,30.5,5.69,Groundnut,Maize
Loamy,27.8,186.9,86.8,97.0,57.6,80.5,5.9,Groundnut,Sugarcane
Loamy,32.9,90.7,71.4,16.0,33.0,50.2,6.34,Cotton,Groundnut
Sandy Loam,15.0,67.9,31.2,42.0,35.3,18.1,7.41,Potato,Mustard
Red,32.3,58.1,69.7,32.1,59.5,40.6,5.9,Potato,Groundnut
Loamy,23.7,79.4,52.0,109.7,61.9,34.6,6.81,Mango,Wheat
Silty,21.9,108.3,58.8,57.0,62.8,66.1,5.14,Sugarcane,Potato
Sandy Loam,24.3,69.4,75.0,102.4,79.4,64.2,6.39,Mango,Tomato
Laterite,27.5,169.6,54.1,39.5,29.3,65.5,7.51,Lentil,Mango
Silty,23.5,100.6,55.1,92.3,75.7,45.0,6.0,Groundnut,Tomato
Clay,28.1,173.8,74.2,133.4,55.7,78.3,5.57,Tomato,Sugarcane
Black,34.6,103.0,63.5,89.4,31.1,41.1,6.87,Groundnut,Cotton
Clay,29.5,61.6,86.0,39.6,54.4,45.2,6.89,Tomato,Soybean
Loamy,17.2,89.1,48.0,29.7,31.4,18.6,7.71,Maize,Lentil
Sandy Loam,34.8,102.8,62.4,19.0,49.1,42.4,6.92,Soybean,Groundnut
Clay,36.6,96.0,51.4,47.8,47.5,12.8,8.12,Mustard,Cotton
Loamy,35.0,179.3,62.7,64.0,27.5,32.8,7.33,Groundnut,Mango
Loamy,25.2,172.3,70.4,94.7,61.2,58.0,6.47,Rice,Sugarcane
Sandy Loam,15.0,106.4,35.7,85.7,66.6,34.5,6.56,Cotton,Wheat
Black,35.2,61.0,41.8,45.8,30.9,40.9,6.79,Rice,Cotton
Loamy,20.1,80.2,66.4,29.4,29.6,30.7,7.37,Soybean,Lentil
Loamy,35.2,145.0,66.1,107.0,52.2,42.2,6.37,Mango,Sugarcane
Sandy Loam,20.5,62.9,65.9,76.1,81.0,74.8,5.63,Sugarcane,Potato
Silty,20.3,117.0,75.7,108.3,46.9,33.4,6.96,Soybean,Maize
Clay,20.6,307.4,86.6,69.6,48.8,56.3,5.31,Maize,Rice
Loamy,18.0,37.8,65.7,41.8,48.0,23.3,7.62,Wheat,Lentil
Silty,20.5,83.5,83.8,79.4,60.9,54.7,5.08,Tomato,Potato
Silty,18.0,77.7,64.1,31.3,28.3,29.0,6.4,Potato,Lentil
Laterite,32.5,111.2,75.2,55.6,49.4,37.5,5.82,Wheat,Mango
Clay,13.0,86.5,55.8,121.2,69.1,26.9,7.44,Rice,Wheat
Red,24.1,128.0,56.3,27.7,31.6,38.1,6.15,Mustard,Groundnut
Loamy,17.0,124.4,60.8,74.6,76.7,65.9,5.62,Lentil,Potato
Sandy Loam,24.35,81.5,52.6,110.1,57.9,69.7,6.38,Rice,Tomato
Laterite,26.5,131.4,63.8,71.4,22.0,65.2,7.23,Potato,Mango
Clay,24.7,107.6,79.9,115.0,65.6,66.3,6.8,Maize,Sugarcane
Sandy Loam,26.3,112.9,58.7,61.6,57.8,36.9,6.6,Cotton,Soybean
Silty,21.2,34.7,71.9,73.6,56.3,50.5,6.4,Rice,Tomato
Sandy Loam,26.3,94.6,63.4,113.5,88.0,43.8,5.67,Wheat,Tomato
Sandy Loam,28.5,121.1,63.4,39.1,52.3,17.0,6.17,Mango,Groundnut
Loamy,21.0,102.1,50.6,93.3,56.2,29.0,7.36,Mango,Wheat
Sandy Loam,16.0,86.4,68.8,78.4,52.0,73.9,5.07,Mango,Potato
Clay,29.2,243.7,92.2,97.3,52.9,54.3,5.02,Mango,Rice
Loamy,16.8,47.6,36.8,41.7,36.2,26.0,6.66,Mango,Mustard
Loamy,23.6,110.7,86.1,136.2,72.9,63.0,7.32,Mustard,Sugarcane
Sandy Loam,16.5,61.7,56.6,70.9,49.2,17.6,6.59,Soybean,Mustard
Loamy,19.9,65.6,48.6,25.2,35.7,14.8,6.55,Wheat,Lentil
Loamy,34.5,202.5,87.9,93.3,46.7,48.5,6.31,Sugarcane,Rice
Loamy,19.4,87.1,72.2,98.2,68.1,59.6,6.31,Soybean,Tomato
Loamy,21.8,145.0,83.3,37.4,49.5,37.0,6.13,Cotton,Soybean
Sandy Loam,19.1,68.2,71.6,65.1,56.2,61.1,6.1,Wheat,Tomato
Silty,24.1,65.4,75.5,56.6,70.4,53.9,5.59,Lentil,Potato
Sandy Loam,21.7,69.8,58.7,104.3,79.1,53.4,5.58,Mango,Tomato
Laterite,32.3,172.0,53.1,77.9,43.1,25.5,7.21,Wheat,Mango
Sandy Loam,14.9,29.6,34.1,39.6,31.3,26.5,6.42,Mango,Lentil
Sandy Loam,30.0,99.8,60.8,18.0,37.6,43.6,5.92,Tomato,Groundnut
Loamy,23.0,272.5,69.0,83.9,42.6,33.0,6.26,Wheat,Rice
Loamy,27.7,155.7,61.8,124.4,56.0,43.9,6.21,Mango,Maize
Silty,26.0,134.8,90.7,95.6,68.3,43.9,6.12,Mango,Sugarcane
Loamy,28.7,109.8,76.1,29.0,52.3,40.8,6.38,Sugarcane,Groundnut
Loamy,24.8,159.6,85.1,109.2,51.8,42.0,7.42,Groundnut,Sugarcane
Loamy,35.0,46.4,68.2,69.0,30.0,16.6,6.54,Wheat,Cotton
Sandy Loam,36.7,164.1,47.1,55.1,25.7,59.3,5.64,Groundnut,Mango
Loamy,26.6,93.9,80.2,41.4,47.4,46.5,6.56,Potato,Soybean
Loamy,20.8,68.4,57.2,32.2,30.0,24.3,6.75,Mango,Lentil
Sandy Loam,26.7,107.0,86.8,32.7,43.1,27.6,6.71,Maize,Soybean
Loamy,9.8,54.9,47.2,61.3,33.6,20.8,6.83,Mango,Mustard
Clay,39.2,123.2,40.5,54.6,31.1,35.8,6.5,Soybean,Cotton
Black,38.5,137.1,43.9,41.0,25.1,26.8,6.51,Mango,Cotton
Black,38.6,51.0,60.4,62.0,28.2,27.7,7.65,Groundnut,Cotton
Loamy,13.2,86.25,54.5,99.8,51.3,20.7,7.34,Groundnut,Wheat
Sandy Loam,19.1,67.6,69.4,114.1,60.6,59.4,6.57,Wheat,Tomato
Clay,13.2,64.0,59.8,129.5,51.0,29.9,6.73,Maize,Wheat
Sandy Loam,29.2,134.3,80.2,110.8,42.4,56.9,6.27,Mustard,Maize
Loamy,27.8,174.3,57.4,86.5,57.6,53.7,6.46,Groundnut,Maize
Silty,26.1,66.4,69.7,125.4,63.0,27.7,6.41,Mustard,Maize
Red,28.4,91.7,69.1,36.2,31.2,29.7,6.58,Potato,Groundnut
Silty,30.1,75.2,68.3,85.15,54.9,53.4,5.46,Mustard,Tomato
Loamy,37.2,188.5,85.7,124.4,68.1,56.0,5.55,Groundnut,Sugarcane
Loamy,26.0,68.0,66.9,69.3,52.7,29.8,6.5,Wheat,Mango
Silty,13.1,83.8,63.1,79.5,71.1,40.6,4.97,Wheat,Potato
Clay,33.2,99.4,49.8,44.6,24.6,38.5,7.37,Soybean,Cotton
Loamy,21.4,93.2,35.8,127.1,70.1,36.8,7.32,Soybean,Wheat
Loamy,27.8,155.1,51.6,53.8,22.6,46.5,6.69,Cotton,Mango
Sandy Loam,24.2,168.3,50.0,98.3,38.6,46.5,6.16,Sugarcane,Maize
Silty,20.7,95.8,48.2,32.1,27.7,41.0,7.46,Soybean,Lentil
Sandy Loam,19.5,114.1,53.9,84.9,52.8,41.9,7.41,Tomato,Wheat
Silty,31.4,189.8,83.2,120.0,61.8,58.2,6.65,Rice,Sugarcane
Loamy,28.7,79.2,58.4,73.2,27.8,30.7,7.61,Wheat,Cotton
Silty,31.1,301.5,78.1,66.4,55.8,47.6,5.68,Sugarcane,Rice
Silty,33.8,257.8,91.0,80.9,58.2,36.4,5.34,Mustard,Rice
Loamy,22.0,37.5,36.9,52.1,37.0,26.1,7.2,Potato,Mustard
Clay,27.1,232.8,81.6,83.6,36.6,58.0,5.98,Sugarcane,Rice
Laterite,24.1,121.8,75.7,72.0,44.5,36.9,5.8,Potato,Mango
Silty,23.6,47.6,53.8,112.2,74.0,55.0,5.66,Maize,Tomato
Clay,32.1,111.0,65.7,90.4,35.5,21.5,8.05,Lentil,Cotton
Loamy,29.3,119.2,79.1,21.1,36.5,33.9,6.12,Soybean,Groundnut
Sandy Loam,24.35,52.8,77.2,108.2,81.6,64.0,5.85,Groundnut,Tomato
Clay,25.6,87.9,53.3,99.9,79.4,45.2,6.7,Cotton,Wheat
Sandy Loam,30.2,74.6,62.5,47.9,47.7,48.0,6.56,Rice,Groundnut
Clay,26.6,64.4,84.8,38.7,52.4,42.6,6.78,Potato,Soybean
Loamy,24.7,60.3,65.2,17.9,46.0,31.6,6.09,Cotton,Groundnut
Loamy,11.1,86.8,71.9,84.2,70.7,44.4,5.37,Cotton,Potato
Clay,28.4,72.4,67.2,55.8,41.2,30.9,7.85,Lentil,Cotton
Loamy,26.2,227.8,79.4,62.5,56.0,43.1,5.48,Cotton,Rice
